diff_id,language,anchor,synonym,disjoint,kind,bleu_syn,bleu_dis,bleu_delta,rougeL_syn,rougeL_dis,rougeL_delta,chrf_syn,chrf_dis,chrf_delta,meteor_syn,meteor_dis,meteor_delta,bertscore_syn,bertscore_dis,bertscore_delta,entail_syn,entail_dis,entail_delta,signed_syn,signed_dis,signed_delta
9568,cpp,test,check,config,infrastructure,0.7506238537503396,0.7506238537503396,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8288728156758335,0.8199166966759788,0.008956118999854712,0.8819444444444444,0.8819444444444444,0.0,0.9822720885276794,0.9766010046005249,0.005671083927154541,0.9954955577850342,0.1504686027765274,0.8450269550085068,0.9950107629701961,-0.4273766726255417,1.4223874355957378
9934,cpp,log,trace,output,infrastructure,0.7348889200874659,0.7348889200874659,0.0,0.8888888888888888,0.8888888888888888,0.0,0.9006084129199421,0.9002744897183966,0.00033392320154546073,0.8950617283950617,0.8950617283950617,0.0,0.9894837737083435,0.9883477687835693,0.00113600492477417,0.10208692401647568,0.1166471317410469,-0.014560207724571228,-0.5394882932305336,-0.4743078872561455,-0.06518040597438812
9952,cpp,class,type,module,close_entity,0.8578928092681438,0.8578928092681438,0.0,0.9444444444444444,0.9444444444444444,0.0,0.9119074494949635,0.909483319142708,0.002424130352255527,0.9494459833795015,0.9494459833795015,0.0,0.9764245748519897,0.9757676124572754,0.0006569623947143555,0.9814761281013489,0.7687558531761169,0.21272027492523193,0.9785789272282273,0.6461255550384521,0.3324533721897751
10964,cpp,functions,methods,variables,close_entity,0.6580370064762461,0.6580370064762461,0.0,0.875,0.875,0.0,0.8726335443715082,0.8660476013548966,0.0065859430166116395,0.8950617283950617,0.8950617283950617,0.0,0.9959007501602173,0.9900987148284912,0.005802035331726074,0.884324848651886,0.011337574571371078,0.8729872740805149,0.8249752633273602,-0.7928518690168858,1.617827132344246
11132,cpp,functions,methods,variables,close_entity,0.3799178428257963,0.3799178428257963,0.0,0.8333333333333334,0.8333333333333334,0.0,0.6811473486024768,0.667629300430861,0.013518048171615837,0.8066666666666668,0.8066666666666668,0.0,0.9876530766487122,0.9832552671432495,0.0043978095054626465,0.9909316301345825,0.289456844329834,0.7014747858047485,0.9878912589047104,-0.28566092252731323,1.2735521814320236
11339,cpp,class,type,module,close_entity,0.30213753973567675,0.30213753973567675,0.0,0.8000000000000002,0.8000000000000002,0.0,0.8212264995463022,0.8171257602431126,0.00410073930318966,0.7500000000000001,0.7500000000000001,0.0,0.9796141386032104,0.9776709675788879,0.0019431710243225098,0.983722984790802,0.8473051190376282,0.13641786575317383,0.9797556637786329,0.725323386490345,0.2544322772882879
11466,cpp,method,function,attribute,close_entity,0.8003203203845001,0.8003203203845001,0.0,0.9,0.9,0.0,0.8333731624239686,0.833286268504001,8.68939199676344e-05,0.9319727891156462,0.9319727891156462,0.0,0.9950692653656006,0.9891294836997986,0.005939781665802002,0.5363073945045471,0.009981019422411919,0.5263263750821352,0.3458572030067444,-0.05692506767809391,0.4027822706848383
11466,cpp,import,include,export,directional,0.8003203203845001,0.8003203203845001,0.0,0.9,0.9,0.0,0.8498077877162507,0.9114232923185939,-0.06161550460234322,0.9319727891156462,0.9319727891156462,0.0,0.98592209815979,0.990519642829895,-0.0045975446701049805,0.8757833242416382,0.006549061741679907,0.8692342624999583,0.799245223402977,-0.965345083270222,1.764590306673199
12097,cpp,test,check,config,infrastructure,0.537284965911771,0.537284965911771,0.0,0.8333333333333334,0.8333333333333334,0.0,0.7496175604893281,0.7383966701746817,0.011220890314646459,0.8066666666666668,0.8066666666666668,0.0,0.9500998258590698,0.9356849193572998,0.01441490650177002,0.9731119871139526,0.008769501931965351,0.9643424851819873,0.9666061233729124,-0.8710535867139697,1.8376597100868821
12518,cpp,tests,checks,configs,infrastructure,0.7506238537503396,0.7506238537503396,0.0,0.8888888888888888,0.8888888888888888,0.0,0.8371821227797756,0.8292524859643079,0.007929636815467656,0.8819444444444444,0.8819444444444444,0.0,0.9901582598686218,0.9815720915794373,0.00858616828918457,0.9949560761451721,0.007648770231753588,0.9873073059134185,0.9940683778841048,-0.8314559417776763,1.8255243196617812
